,scores,labels
102,1.61616002,1
103,2.04963026,1
104,1.89678291,1
105,1.73723373,1
106,1.80345396,1
107,2.16218995,1
108,1.54265537,1
109,1.96521669,1
110,1.16846167,1
111,2.21103726,1
112,1.95864778,1
113,1.73143892,1
114,2.11417639,1
115,1.74480329,1
116,2.02642291,1
117,1.7843592,1
118,2.29491525,1
119,1.71803908,1
120,1.4791816,1
121,1.43362227,1
122,1.14354123,1
123,1.28500445,1
124,1.33398233,1
125,1.60858445,1
126,1.56984108,1
127,1.52892271,1
128,2.22431898,1
129,2.06597092,1
130,1.76398254,1
131,1.24072004,1
132,1.30055103,1
133,1.51003748,1
134,1.65081864,1
135,0.75621022,1
136,1.84323702,1
137,1.3473177,1
138,1.53853412,1
139,1.82799751,1
140,1.95036597,1
141,1.7382206,1
142,1.70271343,1
143,1.76440739,1
144,2.2113003,1
145,2.19673241,1
146,1.5584441,1
147,1.50948853,1
148,2.19515653,1
149,1.80558543,1
150,1.38575781,1
151,2.03048481,1
152,1.71865175,1
153,1.61250555,1
154,1.38981108,1
155,1.77152049,1
156,1.93698861,1
157,1.21629814,1
158,1.29736964,1
159,1.80299272,1
160,2.18917407,1
161,1.63829623,1
162,1.83590938,1
163,1.9881622,1
164,1.5726915,1
165,1.54497537,1
166,1.57014667,1
167,2.02610083,1
168,1.30893826,1
169,2.01064188,1
170,1.85721979,1
171,1.7205062,1
172,1.48102035,1
173,1.88320845,1
174,1.43160547,1
175,1.45963224,1
176,1.10462508,1
177,1.92073803,1
178,1.70068344,1
179,1.38888465,1
180,1.77777349,1
181,1.29660664,1
182,1.98155265,1
183,1.03627471,1
184,1.55166758,1
185,1.77845789,1
186,1.42508176,1
187,1.50838346,1
188,1.52772884,1
189,1.59823296,1
190,1.93412068,1
191,1.32321301,1
192,1.45245039,1
193,1.7425867,1
194,1.82375946,1
195,1.96045715,1
196,1.43621334,1
197,1.56763951,1
198,1.46997893,1
199,1.65880073,1
200,0.37959644,0
201,0.30775833,0
202,1.01416829,0
203,0.6118586,0
204,0.84504524,0
205,0.68540363,0
206,0.75989088,0
207,0.83582507,0
208,0.8718294,0
209,0.49430953,0
210,0.29051384,0
211,0.90672861,0
212,0.62652984,0
213,1.02788278,0
214,0.4952174,0
215,0.47312659,0
216,0.46037922,0
217,0.83564421,0
218,0.30778409,0
219,0.627717,0
220,0.42048044,0
221,0.41311901,0
222,0.36530705,0
223,0.48954936,0
224,0.46926094,0
225,0.25448286,0
226,0.6849739,0
227,0.34358737,0
228,0.35756663,0
229,0.56477946,0
230,0.20739031,0
231,0.39440691,0
232,0.34684479,0
233,0.37826302,0
234,0.31439477,0
235,0.26680015,0
236,0.47797284,0
237,0.41253702,0
238,0.3572517,0
239,0.37576733,0
240,0.31092457,0
241,0.36642483,0
242,0.2256389,0
243,0.32291917,0
244,0.13778109,0
245,0.37376003,0
246,0.21722096,0
247,0.21084782,0
248,1.07807701,0
249,0.46190785,0
250,0.45396513,0
251,0.39637492,0
252,0.68732338,0
253,0.15946426,0
254,0.43404321,0
255,0.22490304,0
256,0.27047209,0
257,0.20751033,0
258,0.31672443,0
259,0.33765539,0
260,0.33758241,0
261,0.49627217,0
262,0.32148136,0
263,0.29255701,0
264,0.30996804,0
265,0.23340448,0
266,0.28155435,0
267,0.30750356,0
268,0.44013169,0
269,0.34756787,0
270,0.22643666,0
271,0.29953912,0
272,0.36955273,0
273,0.36299894,0
274,0.22199064,0
275,0.25074993,0
276,0.33188895,0
277,0.38271729,0
278,0.32023716,0
279,0.29810823,0
280,0.27031896,0
281,0.26673197,0
282,0.35773506,0
283,0.28549432,0
284,0.34255413,0
285,0.16498551,0
286,0.21981542,0
287,0.29564819,0
288,0.30913359,0
289,0.31219943,0
290,0.36349678,0
291,0.26225095,0
292,0.34195249,0
293,0.23993186,0
294,0.17920446,0
295,0.26542903,0
296,0.35508031,0
297,0.36859881,0
298,0.29987236,0
299,0.38803642,0
300,0.457705,0
301,0.35521193,0
302,0.37651212,0
303,0.37101795,0
304,0.32782117,0
305,0.30206837,0
306,0.35545342,0
307,0.30181503,0
308,0.31218145,0
309,0.36604895,0
310,0.38249043,0
311,0.33265362,0
312,0.37384992,0
313,0.39657647,0
314,0.26115569,0
315,0.31275149,0
316,0.26858582,0
317,0.49861372,0
318,0.40993256,0
319,0.48400656,0
320,0.45570448,0
321,0.4899469,0
322,0.4601429,0
323,0.46053262,0
324,0.54455415,0
325,0.45546473,0
326,0.33215279,0
327,0.78938306,0
328,0.41229044,0
329,0.46880114,0
330,0.94273405,0
331,0.40172424,0
332,1.39830706,0
333,1.05760717,0
334,0.32787666,0
335,0.44610512,0
336,0.47250304,0
337,0.4492991,0
338,0.37867467,0
339,0.85651588,0
340,0.91067095,0
341,0.23130692,0
342,0.25650187,0
343,0.18104561,0
344,0.63557344,0
345,0.4349565,0
346,0.44747735,0
