,im,label
408,[0.49330643],1
409,[0.75614491],1
410,[0.31049599],1
411,[0.41832596],1
412,[0.22764478],1
413,[0.35262137],1
414,[0.19190511],1
415,[0.34683533],1
416,[0.38346816],1
417,[0.36043128],1
418,[0.26132378],1
419,[0.31193955],1
420,[0.41871217],1
421,[0.21893033],1
422,[0.48444742],1
423,[0.20367005],1
424,[0.20384018],1
425,[0.44451771],1
426,[0.12339043],1
427,[0.26906005],1
428,[0.24846127],1
429,[0.24753498],1
430,[0.20591395],1
431,[0.2275466],1
432,[0.33120966],1
433,[0.23044182],1
434,[0.27947496],1
435,[0.25962539],1
436,[0.22449078],1
437,[0.20698808],1
438,[0.11880352],1
439,[0.2511789],1
440,[0.08685494],1
441,[0.16698762],1
442,[0.09448175],1
443,[0.24469996],1
444,[0.47171044],1
445,[0.36300667],1
446,[0.27356063],1
447,[0.41765535],1
448,[0.60092967],1
449,[0.12272186],1
450,[0.37007619],1
451,[0.1914021],1
452,[0.19846494],1
453,[0.12617454],1
454,[0.28863481],1
455,[0.14798497],1
456,[0.20269616],1
457,[0.31550554],1
458,[0.20830301],1
459,[0.17843981],1
460,[0.180363],1
461,[0.1532924],1
462,[0.1941824],1
463,[0.20715346],1
464,[0.31381244],1
465,[0.27766491],1
466,[0.16737158],1
467,[0.17278819],1
468,[0.34194763],1
469,[0.38510381],1
470,[0.09226809],1
471,[0.22208181],1
472,[0.28314409],1
473,[0.34738105],1
474,[0.21302399],1
475,[0.24823186],1
476,[0.26076069],1
477,[0.14522591],1
478,[0.29948539],1
479,[0.24238365],1
480,[0.24960587],1
481,[0.1089409],1
482,[0.18816747],1
483,[0.24206328],1
484,[0.3175661],1
485,[0.28406679],1
486,[0.33826154],1
487,[0.15140728],1
488,[0.24927729],1
489,[0.17081139],1
490,[0.12536171],1
491,[0.16522343],1
492,[0.30826656],1
493,[0.28923701],1
494,[0.22358903],1
495,[0.4595742],1
496,[0.31057207],1
497,[0.18871746],1
498,[0.48034283],1
499,[0.35347644],1
500,[0.44242306],1
501,[0.87237374],1
502,[0.75600285],1
503,[0.45436601],1
504,[0.66310099],1
505,[0.17911895],1
506,[0.90131839],1
507,[0.68050195],1
508,[0.73015801],1
509,[0.3383826],1
510,[0.86898474],1
511,[0.33441597],1
512,[1.34834019],1
513,[0.23731044],1
514,[0.36500784],1
515,[0.31228997],1
516,[0.40330294],1
517,[0.30535987],1
