,scores,labels
441,[[0.2289686]],0
442,[[0.31341082]],0
443,[[0.38750998]],0
444,[[0.34335598]],0
445,[[0.27604151]],0
446,[[0.56997544]],1
447,[[0.40156529]],1
448,[[0.45287625]],1
449,[[0.52292575]],1
450,[[0.3883108]],0
451,[[0.43335325]],0
452,[[0.32374323]],0
453,[[0.39205569]],0
454,[[0.35103829]],0
455,[[0.49416948]],0
456,[[0.55236947]],0
457,[[0.37556087]],0
458,[[0.45207254]],0
459,[[0.51272384]],0
460,[[0.4065671]],0
461,[[0.31414151]],0
462,[[0.30060329]],0
463,[[0.38032567]],0
464,[[0.3631516]],0
465,[[0.48941899]],0
466,[[0.48150374]],0
467,[[0.57424445]],0
468,[[0.3627009]],0
469,[[0.35137949]],0
470,[[0.25731075]],0
471,[[0.3103568]],0
472,[[0.31835973]],0
473,[[0.28226837]],0
474,[[0.22477685]],0
475,[[0.25527238]],0
476,[[0.44871588]],0
477,[[0.26163315]],0
478,[[0.30126603]],0
479,[[0.30537671]],0
480,[[0.50274153]],0
481,[[0.40422439]],0
482,[[0.41007447]],0
483,[[0.52246364]],0
484,[[0.36198128]],0
485,[[0.33046954]],0
486,[[0.36769818]],0
487,[[0.30288384]],0
488,[[0.29955251]],0
489,[[0.28431433]],0
490,[[0.3006155]],0
491,[[0.39809851]],0
492,[[0.343814]],0
493,[[0.34271387]],0
494,[[0.29299832]],0
495,[[0.25227652]],0
496,[[0.29893002]],0
497,[[0.28991254]],0
498,[[0.36144231]],0
499,[[0.39690813]],0
500,[[0.40408603]],0
501,[[0.40937082]],0
502,[[0.40456912]],0
503,[[0.34567925]],0
504,[[0.34159507]],0
505,[[0.30480188]],0
506,[[0.43909204]],0
507,[[0.32383938]],0
508,[[0.33514333]],0
509,[[0.34096401]],0
510,[[0.43867254]],0
511,[[0.44096524]],0
512,[[0.42338724]],0
513,[[0.44719544]],0
514,[[0.43787653]],0
515,[[0.43758573]],0
516,[[0.45560842]],0
517,[[0.38022811]],0
518,[[0.37746803]],0
519,[[0.45071269]],0
520,[[0.32340145]],0
521,[[0.41195517]],0
522,[[0.46146742]],0
523,[[0.41421291]],0
524,[[0.45631871]],0
525,[[0.34784665]],0
526,[[0.37443033]],0
527,[[0.45432624]],0
528,[[0.30131998]],0
529,[[0.32391064]],0
530,[[0.45210726]],0
531,[[0.40101928]],0
532,[[0.40816159]],0
533,[[0.36917954]],0
534,[[0.4728287]],0
535,[[0.33256994]],0
536,[[0.34492778]],0
537,[[0.37118089]],0
538,[[0.36734706]],0
539,[[0.34303275]],0
540,[[0.43649217]],0
541,[[0.46269784]],0
542,[[0.43502924]],0
543,[[0.42290352]],0
544,[[0.51783031]],0
545,[[0.3784986]],0
546,[[0.32141493]],0
547,[[0.33630046]],0
548,[[0.29620322]],0
549,[[0.27122381]],0
550,[[0.53801353]],0
551,[[0.4828069]],0
552,[[0.52896451]],0
553,[[0.41004156]],0
554,[[0.34884078]],0
555,[[0.34344884]],0
556,[[0.38151036]],0
557,[[0.31928043]],0
558,[[0.3258192]],0
559,[[0.36187919]],0
560,[[0.38204771]],0
561,[[0.38230163]],0
562,[[0.47645198]],0
563,[[0.39043156]],0
564,[[0.28694085]],0
565,[[0.28079021]],0
566,[[0.29185769]],0
567,[[0.25371758]],0
568,[[0.24610669]],0
569,[[0.29733036]],0
570,[[0.32356704]],0
571,[[0.3910733]],0
572,[[0.35150526]],0
573,[[0.25367875]],0
574,[[0.34231956]],0
575,[[0.3094498]],0
576,[[0.41668148]],0
577,[[0.24068191]],0
578,[[0.366713]],0
579,[[0.33322183]],0
580,[[0.30664837]],0
581,[[0.25068017]],0
582,[[0.26469088]],0
583,[[0.32959632]],0
584,[[0.33112618]],0
585,[[0.45849409]],0
586,[[0.42059281]],0
587,[[0.29775732]],0
588,[[0.32149823]],0
589,[[0.39435564]],0
590,[[0.41045349]],0
591,[[0.30050533]],0
592,[[0.58399087]],1
593,[[0.48315997]],1
594,[[0.74036853]],1
595,[[0.44728079]],0
596,[[0.52538594]],0
597,[[0.39026991]],0
598,[[0.48098035]],0
599,[[0.35563384]],0
600,[[0.39891088]],0
601,[[0.42322543]],0
602,[[0.40315142]],0
603,[[0.56450129]],0
604,[[0.45450221]],0
605,[[0.35191434]],0
606,[[0.32908054]],0
607,[[0.35520192]],0
608,[[0.4176822]],0
609,[[0.43094616]],0
610,[[0.50722078]],0
611,[[0.49121891]],0
612,[[0.42094277]],0
613,[[0.45451211]],0
614,[[0.50190807]],0
615,[[0.330384]],0
616,[[0.33839022]],0
617,[[0.34638953]],0
618,[[0.31422931]],0
619,[[0.28505529]],0
620,[[0.35068746]],0
621,[[0.37460767]],0
622,[[0.35475927]],0
623,[[0.43896989]],0
624,[[0.36565003]],0
625,[[0.3891837]],0
626,[[0.43441113]],0
627,[[0.35777135]],0
628,[[0.46256491]],0
629,[[0.51677889]],0
630,[[0.40697279]],0
631,[[0.32180589]],0
632,[[0.2753914]],0
633,[[0.3200014]],0
634,[[0.27697826]],0
635,[[0.39297793]],0
636,[[0.4077953]],0
637,[[0.31206065]],0
638,[[0.42785454]],0
639,[[0.3825195]],0
640,[[0.41318076]],0
641,[[0.34449486]],0
642,[[0.39712482]],0
643,[[0.54512366]],0
644,[[0.43822982]],0
645,[[0.44930562]],0
646,[[0.46966156]],0
647,[[0.53717451]],0
648,[[0.4170511]],0
649,[[0.4068457]],0
650,[[0.41734291]],0
651,[[0.36204124]],0
652,[[0.33604687]],0
653,[[0.34420088]],0
654,[[0.36403698]],0
655,[[0.52393383]],0
656,[[0.48271491]],0
657,[[0.45686906]],0
658,[[0.47316108]],0
659,[[0.45974742]],0
660,[[0.4828692]],0
661,[[0.39461173]],0
662,[[0.45309737]],0
663,[[0.4434557]],0
664,[[0.51590474]],0
665,[[0.36407838]],0
666,[[0.38201117]],0
667,[[0.39945644]],0
668,[[0.47707747]],0
669,[[0.59122448]],0
670,[[0.40357615]],0
671,[[0.33418651]],0
672,[[0.34278929]],0
673,[[0.31335371]],0
674,[[0.30581209]],0
675,[[0.47179093]],0
676,[[0.39526786]],0
677,[[0.45825997]],0
678,[[0.5342202]],0
679,[[0.45897312]],0
680,[[0.43967707]],0
681,[[0.35317053]],0
682,[[0.41554603]],0
683,[[0.44996349]],0
684,[[0.42729372]],0
685,[[0.51777849]],0
686,[[0.45024223]],0
687,[[0.52929804]],0
688,[[0.54731342]],0
689,[[0.52540174]],0
690,[[0.42833025]],0
691,[[0.32063387]],0
692,[[0.35667229]],0
693,[[0.32427193]],0
694,[[0.35107822]],0
695,[[0.4151035]],0
696,[[0.44970364]],0
697,[[0.50081034]],0
698,[[0.48624336]],0
699,[[0.44800349]],0
700,[[0.38056411]],0
701,[[0.27307881]],0
702,[[0.3574985]],0
703,[[0.35430809]],0
704,[[0.33687506]],0
705,[[0.43724603]],0
706,[[0.43202603]],0
707,[[0.39712572]],0
708,[[0.42493749]],0
709,[[0.4144526]],0
710,[[0.33980112]],0
711,[[0.27158636]],0
712,[[0.26939185]],0
713,[[0.28865751]],0
714,[[0.36225841]],0
715,[[0.33434198]],0
716,[[0.31654644]],0
